date,description,category,amount,currency,balance
2025-09-22,Hausunterhalt,Housing,-253.33,CHF,1696.67
2025-09-22,Krankenkasse Zusatzversicherung,Healthcare,-50.57,CHF,1646.10
2025-09-22,Coop,Groceries,-109.08,CHF,1537.02
2025-09-22,Migros,Groceries,-83.45,CHF,1453.57
2025-09-22,Migros,Groceries,-109.11,CHF,1344.46
2025-09-22,EWZ Strom,Utilities,-97.18,CHF,1247.28
2025-09-22,Swisscom Internet,Utilities,-37.48,CHF,1209.80
2025-09-22,Migros Reisen Pauschalreise,Travel,-535.31,CHF,674.49
2025-09-22,Café,Food,-28.63,CHF,645.86
2025-09-22,Café,Food,-33.19,CHF,612.67
2025-09-22,Café,Food,-46.19,CHF,566.48
2025-09-22,Enkelkinder Geschenk,Gifts,-53.02,CHF,513.46
2025-09-23,Familienrestaurant,Food,-24.59,CHF,488.87
2025-09-25,Apotheke,Healthcare,-52.29,CHF,436.58
2025-09-29,Migros,Groceries,-107.54,CHF,329.04
2025-09-29,EWZ Strom,Utilities,-78.78,CHF,250.26
2025-10-01,Pensionskasse Rente,Income,1600.00,CHF,1850.26
2025-10-02,Familienrestaurant,Food,-38.58,CHF,1811.68
2025-10-03,AHV Rente,Income,1800.00,CHF,3611.68
2025-10-07,Migros,Groceries,-72.55,CHF,3539.13
2025-10-08,Liegenschaftssteuer,Housing,-133.49,CHF,3405.64
2025-10-08,Krankenkasse Zusatzversicherung,Healthcare,-25.78,CHF,3379.86
2025-10-11,Krankenkasse Zusatzversicherung,Healthcare,-164.02,CHF,3215.84
2025-10-11,Café,Food,-19.55,CHF,3196.29
2025-10-13,Familienrestaurant,Food,-36.35,CHF,3159.94
2025-10-20,Coop,Groceries,-68.68,CHF,3091.26
2025-10-22,Enkelkinder Geschenk,Gifts,-110.63,CHF,2980.63
2025-10-24,Migros,Groceries,-81.11,CHF,2899.52
2025-10-24,Swisscom Internet,Utilities,-50.30,CHF,2849.22
2025-10-27,Swisscom Internet,Utilities,-93.51,CHF,2755.71
2025-10-28,Coop,Groceries,-69.82,CHF,2685.89
2025-10-28,Wasserwerk,Utilities,-92.40,CHF,2593.49
2025-10-30,Familienrestaurant,Food,-39.43,CHF,2554.06
2025-11-01,Pensionskasse Rente,Income,1600.00,CHF,4154.06
2025-11-01,Café,Food,-47.57,CHF,4106.49
2025-11-03,AHV Rente,Income,1800.00,CHF,5906.49
2025-11-04,Café,Food,-17.37,CHF,5889.12
2025-11-08,EWZ Strom,Utilities,-67.28,CHF,5821.84
2025-11-08,Familienrestaurant,Food,-38.08,CHF,5783.76
2025-11-12,Migros,Groceries,-61.56,CHF,5722.20
2025-11-13,Apotheke,Healthcare,-167.70,CHF,5554.50
2025-11-13,EWZ Strom,Utilities,-78.54,CHF,5475.96
2025-11-14,Coop,Groceries,-96.81,CHF,5379.15
2025-11-14,Migros,Groceries,-94.36,CHF,5284.79
2025-11-15,Krankenkasse Zusatzversicherung,Healthcare,-87.74,CHF,5197.05
2025-11-15,Migros,Groceries,-90.18,CHF,5106.87
2025-11-22,Swisscom Internet,Utilities,-41.06,CHF,5065.81
2025-11-25,Liegenschaftssteuer,Housing,-324.55,CHF,4741.26
2025-11-26,Café,Food,-30.96,CHF,4710.30
2025-11-30,Geburtstagsgeschenk,Gifts,-72.60,CHF,4637.70
2025-12-01,Pensionskasse Rente,Income,1600.00,CHF,6237.70
2025-12-01,Kreuzfahrt Anzahlung,Travel,-711.53,CHF,5526.17
2025-12-03,AHV Rente,Income,1800.00,CHF,7326.17
2025-12-05,Café,Food,-41.73,CHF,7284.44
2025-12-08,Apotheke,Healthcare,-139.13,CHF,7145.31
2025-12-09,Migros,Groceries,-71.30,CHF,7074.01
2025-12-10,EWZ Strom,Utilities,-54.88,CHF,7019.13
2025-12-12,Migros,Groceries,-92.23,CHF,6926.90
2025-12-15,Hausunterhalt,Housing,-209.01,CHF,6717.89
2025-12-17,Apotheke,Healthcare,-99.80,CHF,6618.09
2025-12-18,Familienrestaurant,Food,-39.43,CHF,6578.66
2025-12-18,Geburtstagsgeschenk,Gifts,-68.38,CHF,6510.28
2025-12-19,Migros,Groceries,-76.19,CHF,6434.09
2025-12-22,Familienrestaurant,Food,-48.30,CHF,6385.79
2025-12-24,Café,Food,-20.47,CHF,6365.32
2025-12-25,Swisscom Internet,Utilities,-63.20,CHF,6302.12
2025-12-29,Migros,Groceries,-74.04,CHF,6228.08
2025-12-29,EWZ Strom,Utilities,-57.94,CHF,6170.14
2026-01-01,Pensionskasse Rente,Income,1600.00,CHF,7770.14
2026-01-01,Migros,Groceries,-83.47,CHF,7686.67
2026-01-03,AHV Rente,Income,1800.00,CHF,9486.67
2026-01-05,Apotheke,Healthcare,-90.17,CHF,9396.50
2026-01-10,Enkelkinder Geschenk,Gifts,-68.66,CHF,9327.84
2026-01-11,Hausunterhalt,Housing,-311.02,CHF,9016.82
2026-01-13,Coop,Groceries,-104.21,CHF,8912.61
2026-01-13,EWZ Strom,Utilities,-86.79,CHF,8825.82
2026-01-16,Apotheke,Healthcare,-129.52,CHF,8696.30
2026-01-17,Café,Food,-35.94,CHF,8660.36
2026-01-18,EWZ Strom,Utilities,-67.19,CHF,8593.17
2026-01-18,Familienrestaurant,Food,-40.53,CHF,8552.64
2026-01-21,Wasserwerk,Utilities,-88.60,CHF,8464.04
2026-01-24,Migros,Groceries,-81.68,CHF,8382.36
2026-01-26,Familienrestaurant,Food,-48.58,CHF,8333.78
2026-01-28,Familienrestaurant,Food,-36.22,CHF,8297.56
2026-01-31,Migros,Groceries,-84.19,CHF,8213.37
2026-02-01,Pensionskasse Rente,Income,1600.00,CHF,9813.37
2026-02-01,Wasserwerk,Utilities,-44.39,CHF,9768.98
2026-02-01,Familienrestaurant,Food,-30.90,CHF,9738.08
2026-02-03,AHV Rente,Income,1800.00,CHF,11538.08
2026-02-04,Apotheke,Healthcare,-175.15,CHF,11362.93
2026-02-06,Wasserwerk,Utilities,-80.89,CHF,11282.04
2026-02-08,Coop,Groceries,-82.05,CHF,11199.99
2026-02-08,Café,Food,-26.69,CHF,11173.30
2026-02-10,Coop,Groceries,-51.20,CHF,11122.10
2026-02-11,EWZ Strom,Utilities,-73.77,CHF,11048.33
2026-02-12,Familienrestaurant,Food,-28.45,CHF,11019.88
