date,description,category,amount,currency,balance
2025-09-22,Too Good To Go Nebenjob,Income,604.70,CHF,1104.70
2025-09-22,Too Good To Go Nebenjob,Income,410.80,CHF,1515.50
2025-09-22,WG-Zimmer Miete,Housing,-444.15,CHF,1071.35
2025-09-22,Denner,Groceries,-19.25,CHF,1052.10
2025-09-22,Denner,Groceries,-23.91,CHF,1028.19
2025-09-22,Migros Take Away,Food,-6.79,CHF,1021.40
2025-09-22,Kebab Haus,Food,-10.00,CHF,1011.40
2025-09-22,McDonald's,Food,-13.49,CHF,997.91
2025-09-22,Konsumkredit Rate,Debt Repayment,-71.01,CHF,926.90
2025-09-22,Kreditkarte Mindestzahlung,Debt Repayment,-113.40,CHF,813.50
2025-09-22,Salt Prepaid Aufladung,Phone/Utilities,-28.79,CHF,784.71
2025-09-22,Bancomat Bezug,Misc,-18.15,CHF,766.56
2025-09-24,Lidl Schweiz,Groceries,-15.33,CHF,751.23
2025-09-25,McDonald's,Food,-8.46,CHF,742.77
2025-09-27,FlixBus Ticket,Travel,-34.62,CHF,708.15
2025-09-28,Randstad Lohnzahlung,Income,635.86,CHF,1344.01
2025-09-28,Denner,Groceries,-27.32,CHF,1316.69
2025-09-29,Migros Take Away,Food,-7.24,CHF,1309.45
2025-09-29,TWINT Transfer,Misc,-19.26,CHF,1290.19
2025-09-30,Migros Take Away,Food,-13.93,CHF,1276.26
2025-10-03,Too Good To Go Nebenjob,Income,623.22,CHF,1899.48
2025-10-03,Lidl Schweiz,Groceries,-22.24,CHF,1877.24
2025-10-04,Adecco Temporärbüro Auszahlung,Income,567.96,CHF,2445.20
2025-10-04,McDonald's,Food,-12.22,CHF,2432.98
2025-10-06,Konsumkredit Rate,Debt Repayment,-90.80,CHF,2342.18
2025-10-10,Denner,Groceries,-22.38,CHF,2319.80
2025-10-11,WG-Zimmer Miete,Housing,-483.03,CHF,1836.77
2025-10-11,Denner,Groceries,-28.14,CHF,1808.63
2025-10-13,McDonald's,Food,-10.50,CHF,1798.13
2025-10-15,Kebab Haus,Food,-6.97,CHF,1791.16
2025-10-15,Kebab Haus,Food,-8.26,CHF,1782.90
2025-10-17,Bancomat Bezug,Misc,-39.39,CHF,1743.51
2025-10-19,Denner,Groceries,-15.70,CHF,1727.81
2025-10-21,Adecco Temporärbüro Auszahlung,Income,668.38,CHF,2396.19
2025-10-22,Salt Prepaid Aufladung,Phone/Utilities,-25.85,CHF,2370.34
2025-10-24,Kreditkarte Mindestzahlung,Debt Repayment,-87.02,CHF,2283.32
2025-10-25,Bancomat Bezug,Misc,-17.18,CHF,2266.14
2025-10-29,Migros Take Away,Food,-10.03,CHF,2256.11
2025-10-30,Kebab Haus,Food,-12.18,CHF,2243.93
2025-11-01,Denner,Groceries,-26.97,CHF,2216.96
2025-11-02,Randstad Lohnzahlung,Income,657.26,CHF,2874.22
2025-11-02,Salt Prepaid Aufladung,Phone/Utilities,-28.73,CHF,2845.49
2025-11-02,Bancomat Bezug,Misc,-28.85,CHF,2816.64
2025-11-03,WG-Zimmer Miete,Housing,-420.87,CHF,2395.77
2025-11-04,Kreditkarte Mindestzahlung,Debt Repayment,-101.26,CHF,2294.51
2025-11-09,Kebab Haus,Food,-14.10,CHF,2280.41
2025-11-09,Bancomat Bezug,Misc,-17.79,CHF,2262.62
2025-11-11,Denner,Groceries,-17.73,CHF,2244.89
2025-11-11,Konsumkredit Rate,Debt Repayment,-139.32,CHF,2105.57
2025-11-12,Denner,Groceries,-29.02,CHF,2076.55
2025-11-12,Kebab Haus,Food,-10.05,CHF,2066.50
2025-11-13,Migros Take Away,Food,-14.80,CHF,2051.70
2025-11-15,Too Good To Go Nebenjob,Income,692.35,CHF,2744.05
2025-11-15,Migros Take Away,Food,-8.42,CHF,2735.63
2025-11-16,Lidl Schweiz,Groceries,-16.35,CHF,2719.28
2025-11-18,Migros Take Away,Food,-14.77,CHF,2704.51
2025-11-21,Adecco Temporärbüro Auszahlung,Income,394.50,CHF,3099.01
2025-11-25,Kebab Haus,Food,-7.75,CHF,3091.26
2025-11-27,Adecco Temporärbüro Auszahlung,Income,617.03,CHF,3708.29
2025-12-01,Randstad Lohnzahlung,Income,766.87,CHF,4475.16
2025-12-03,Bancomat Bezug,Misc,-32.67,CHF,4442.49
2025-12-04,TWINT Transfer,Misc,-16.68,CHF,4425.81
2025-12-05,McDonald's,Food,-15.00,CHF,4410.81
2025-12-06,McDonald's,Food,-10.33,CHF,4400.48
2025-12-07,Too Good To Go Nebenjob,Income,827.74,CHF,5228.22
2025-12-07,Konsumkredit Rate,Debt Repayment,-100.43,CHF,5127.79
2025-12-12,WG-Zimmer Miete,Housing,-437.17,CHF,4690.62
2025-12-12,Lidl Schweiz,Groceries,-16.70,CHF,4673.92
2025-12-15,Migros Take Away,Food,-14.46,CHF,4659.46
2025-12-17,McDonald's,Food,-13.40,CHF,4646.06
2025-12-18,Denner,Groceries,-22.36,CHF,4623.70
2025-12-26,Lidl Schweiz,Groceries,-34.27,CHF,4589.43
2025-12-26,Migros Take Away,Food,-14.16,CHF,4575.27
2025-12-26,Konsumkredit Rate,Debt Repayment,-126.24,CHF,4449.03
