date,description,category,amount,currency,balance
2025-09-22,Hypothekarzins,Housing,-1900.00,CHF,1840.00
2025-09-22,Migros,Groceries,-92.70,CHF,1747.30
2025-09-22,Coop,Groceries,-94.28,CHF,1653.02
2025-09-22,Migros,Groceries,-106.71,CHF,1546.31
2025-09-22,Coop,Groceries,-98.45,CHF,1447.86
2025-09-22,EWZ Strom,Utilities,-86.56,CHF,1361.30
2025-09-22,EWZ Strom,Utilities,-74.07,CHF,1287.23
2025-09-22,Garage Autoleasing,Transportation,-150.00,CHF,1137.23
2025-09-22,Garage Autoleasing,Transportation,-69.43,CHF,1067.80
2025-09-22,Swissquote Einzahlung,Investing,-233.99,CHF,833.81
2025-09-22,Restaurant Zürich,Food,-44.88,CHF,788.93
2025-09-22,Pizzeria,Food,-44.94,CHF,743.99
2025-09-22,Restaurant Zürich,Food,-57.48,CHF,686.51
2025-09-22,Amazon,Shopping,-69.33,CHF,617.18
2025-09-23,Swisscom Internet,Utilities,-63.26,CHF,553.92
2025-09-23,Migros Do It + Garden,Shopping,-69.10,CHF,484.82
2025-09-25,Firma AG Lohnzahlung,Income,7196.34,CHF,7681.16
2025-09-25,Krankenkasse Prämie,Insurance,-397.57,CHF,7283.59
2025-09-25,TUI Suisse Pauschalreise,Travel,-223.71,CHF,7059.88
2025-09-27,Garage Autoleasing,Transportation,-42.18,CHF,7017.70
2025-09-29,VIAC Säule 3a Einzahlung,Investing,-300.00,CHF,6717.70
2025-09-30,Restaurant Zürich,Food,-32.72,CHF,6684.98
2025-10-02,Hypothekarzins,Housing,-1900.00,CHF,4784.98
2025-10-02,Coop,Groceries,-99.01,CHF,4685.97
2025-10-02,Hotel Mallorca,Travel,-183.28,CHF,4502.69
2025-10-03,Restaurant Zürich,Food,-58.39,CHF,4444.30
2025-10-04,Swisscom Internet,Utilities,-82.08,CHF,4362.22
2025-10-04,Amazon,Shopping,-40.21,CHF,4322.01
2025-10-06,Coop,Groceries,-67.02,CHF,4254.99
2025-10-08,Swisscom Internet,Utilities,-69.64,CHF,4185.35
2025-10-09,Pizzeria,Food,-51.17,CHF,4134.18
2025-10-12,Migros,Groceries,-114.19,CHF,4019.99
2025-10-14,Migrol Tankstelle,Transportation,-208.97,CHF,3811.02
2025-10-16,Amazon,Shopping,-87.24,CHF,3723.78
2025-10-17,EWZ Strom,Utilities,-92.24,CHF,3631.54
2025-10-19,Migrol Tankstelle,Transportation,-280.80,CHF,3350.74
2025-10-20,Migros,Groceries,-69.24,CHF,3281.50
2025-10-20,Pizzeria,Food,-27.02,CHF,3254.48
2025-10-21,Migrol Tankstelle,Transportation,-93.71,CHF,3160.77
2025-10-21,Krankenkasse Prämie,Insurance,-417.34,CHF,2743.43
2025-10-25,Firma AG Lohnzahlung,Income,7222.68,CHF,9966.11
2025-10-27,Pizzeria,Food,-59.47,CHF,9906.64
2025-10-31,VIAC Säule 3a Einzahlung,Investing,-300.00,CHF,9606.64
2025-11-02,Migrol Tankstelle,Transportation,-296.55,CHF,9310.09
2025-11-05,Migrol Tankstelle,Transportation,-117.53,CHF,9192.56
2025-11-06,EWZ Strom,Utilities,-46.55,CHF,9146.01
