date,description,category,amount,currency,balance
2025-09-22,Quartalsbonus,Income,13452.64,CHF,13952.64
2025-09-22,Portfolio Einzahlung Julius Bär,Investing,-4215.12,CHF,9737.52
2025-09-22,Coop,Groceries,-171.84,CHF,9565.68
2025-09-22,Krankenkasse Zusatzversicherung Premium,Healthcare,-413.09,CHF,9152.59
2025-09-23,Hypothekarzins Villa,Housing,-4500.00,CHF,4652.59
2025-09-23,Bucherer,Shopping,-1807.70,CHF,2844.89
2025-09-25,Klinik Lohnzahlung,Income,19903.60,CHF,22748.49
2025-09-27,Privatschule Gebühr,Kids/School,-3142.11,CHF,19606.38
2025-09-29,Globus Delikatessa,Groceries,-233.08,CHF,19373.30
2025-09-29,Globus Delikatessa,Groceries,-100.74,CHF,19272.56
2025-09-30,Globus Delikatessa,Groceries,-230.21,CHF,19042.35
2025-10-02,Globus Delikatessa,Groceries,-207.76,CHF,18834.59
2025-10-07,Globus Delikatessa,Groceries,-185.99,CHF,18648.60
2025-10-09,Globus Delikatessa,Groceries,-220.27,CHF,18428.33
2025-10-17,Coop,Groceries,-217.93,CHF,18210.40
2025-10-21,Hypothekarzins Villa,Housing,-4500.00,CHF,13710.40
2025-10-23,Krankenkasse Zusatzversicherung Premium,Healthcare,-381.88,CHF,13328.52
2025-10-25,Klinik Lohnzahlung,Income,20074.10,CHF,33402.62
2025-10-25,Aman Hotel,Travel,-807.97,CHF,32594.65
2025-10-27,Quartalsbonus,Income,11173.68,CHF,43768.33
2025-10-27,Portfolio Einzahlung Julius Bär,Investing,-4547.36,CHF,39220.97
2025-10-28,Privatschule Gebühr,Kids/School,-2888.91,CHF,36332.06
2025-10-30,Stiftung Spende,Philanthropy,-567.17,CHF,35764.89
2025-11-08,Portfolio Einzahlung Julius Bär,Investing,-3066.69,CHF,32698.20
2025-11-14,Hypothekarzins Villa,Housing,-4500.00,CHF,28198.20
2025-11-18,Coop,Groceries,-214.00,CHF,27984.20
2025-11-18,Globus Delikatessa,Groceries,-159.48,CHF,27824.72
2025-11-18,Globus Delikatessa,Groceries,-144.68,CHF,27680.04
2025-11-22,Privatschule Gebühr,Kids/School,-2249.17,CHF,25430.87
2025-11-24,Quartalsbonus,Income,13494.12,CHF,38924.99
2025-11-25,Klinik Lohnzahlung,Income,20073.63,CHF,58998.62
2025-11-25,Klinik 13. Monatslohn,Income,20000.00,CHF,78998.62
2025-11-27,Aman Hotel,Travel,-885.45,CHF,78113.17
2025-11-28,Krankenkasse Zusatzversicherung Premium,Healthcare,-402.65,CHF,77710.52
2025-11-29,Globus Delikatessa,Groceries,-107.79,CHF,77602.73
2025-12-04,Coop,Groceries,-178.62,CHF,77424.11
2025-12-12,Quartalsbonus,Income,16799.51,CHF,94223.62
2025-12-13,Privatschule Gebühr,Kids/School,-3159.91,CHF,91063.71
2025-12-14,Portfolio Einzahlung Julius Bär,Investing,-2611.54,CHF,88452.17
2025-12-16,Hypothekarzins Villa,Housing,-4500.00,CHF,83952.17
2025-12-20,Krankenkasse Zusatzversicherung Premium,Healthcare,-310.36,CHF,83641.81
2025-12-25,Klinik Lohnzahlung,Income,20139.73,CHF,103781.54
2025-12-25,Stiftung Spende,Philanthropy,-654.04,CHF,103127.50
2025-12-26,Globus Delikatessa,Groceries,-194.11,CHF,102933.39
2025-12-28,Coop,Groceries,-113.64,CHF,102819.75
2025-12-30,Globus Delikatessa,Groceries,-104.56,CHF,102715.19
2026-01-01,Bucherer,Shopping,-1016.37,CHF,101698.82
2026-01-04,Coop,Groceries,-146.27,CHF,101552.55
2026-01-06,Hypothekarzins Villa,Housing,-4500.00,CHF,97052.55
2026-01-10,Privatschule Gebühr,Kids/School,-3628.10,CHF,93424.45
2026-01-11,Portfolio Einzahlung Julius Bär,Investing,-3192.90,CHF,90231.55
2026-01-13,Aman Hotel,Travel,-1350.46,CHF,88881.09
2026-01-16,Globus Delikatessa,Groceries,-158.51,CHF,88722.58
2026-01-22,Quartalsbonus,Income,12913.62,CHF,101636.20
2026-01-25,Klinik Lohnzahlung,Income,19874.29,CHF,121510.49
2026-01-25,Krankenkasse Zusatzversicherung Premium,Healthcare,-385.30,CHF,121125.19
2026-01-27,Coop,Groceries,-201.14,CHF,120924.05
2026-01-30,Globus Delikatessa,Groceries,-214.30,CHF,120709.75
2026-02-02,Portfolio Einzahlung Julius Bär,Investing,-3799.43,CHF,116910.32
2026-02-03,Aman Hotel,Travel,-1888.37,CHF,115021.95
2026-02-08,Globus Delikatessa,Groceries,-240.59,CHF,114781.36
2026-02-09,Krankenkasse Zusatzversicherung Premium,Healthcare,-356.31,CHF,114425.05
2026-02-15,Globus Delikatessa,Groceries,-145.14,CHF,114279.91
2026-02-15,Privatschule Gebühr,Kids/School,-2779.08,CHF,111500.83
2026-02-18,Coop,Groceries,-138.85,CHF,111361.98
2026-02-21,Quartalsbonus,Income,10938.88,CHF,122300.86
2026-02-22,Stiftung Spende,Philanthropy,-788.13,CHF,121512.73
2026-02-25,Klinik Lohnzahlung,Income,19892.22,CHF,141404.95
2026-02-26,Hypothekarzins Villa,Housing,-4500.00,CHF,136904.95
2026-02-28,Coop,Groceries,-242.86,CHF,136662.09
2026-03-02,Stiftung Spende,Philanthropy,-759.35,CHF,135902.74
2026-03-07,Coop,Groceries,-214.94,CHF,135687.80
2026-03-09,Krankenkasse Zusatzversicherung Premium,Healthcare,-448.64,CHF,135239.16
2026-03-10,Portfolio Einzahlung Julius Bär,Investing,-2571.29,CHF,132667.87
2026-03-14,Coop,Groceries,-139.22,CHF,132528.65
2026-03-18,Quartalsbonus,Income,14889.51,CHF,147418.16
2026-03-19,Coop,Groceries,-235.31,CHF,147182.85
2026-03-22,Hypothekarzins Villa,Housing,-4500.00,CHF,142682.85
2026-03-24,Privatschule Gebühr,Kids/School,-2121.88,CHF,140560.97
2026-03-25,Klinik Lohnzahlung,Income,19858.86,CHF,160419.83
2026-03-27,Coop,Groceries,-214.28,CHF,160205.55
2026-03-31,Chalet Miete Verbier,Travel,-1985.28,CHF,158220.27
2026-04-01,Globus Delikatessa,Groceries,-185.94,CHF,158034.33
2026-04-05,Globus Delikatessa,Groceries,-115.43,CHF,157918.90
2026-04-05,Privatschule Gebühr,Kids/School,-3064.76,CHF,154854.14
2026-04-07,Hypothekarzins Villa,Housing,-4500.00,CHF,150354.14
2026-04-10,Coop,Groceries,-112.10,CHF,150242.04
2026-04-11,Julius Bär Portfoliomanagement,Private Banking,-1034.33,CHF,149207.71
2026-04-12,Hermès Genève,Shopping,-556.75,CHF,148650.96
2026-04-13,Portfolio Einzahlung Julius Bär,Investing,-2998.60,CHF,145652.36
2026-04-15,Chalet Miete Verbier,Travel,-1601.15,CHF,144051.21
2026-04-16,Globus Delikatessa,Groceries,-223.18,CHF,143828.03
2026-04-21,Krankenkasse Zusatzversicherung Premium,Healthcare,-316.90,CHF,143511.13
2026-04-22,Quartalsbonus,Income,15831.59,CHF,159342.72
2026-04-25,Klinik Lohnzahlung,Income,19890.07,CHF,179232.79
2026-05-01,Globus Delikatessa,Groceries,-243.90,CHF,178988.89
2026-05-07,Quartalsbonus,Income,11435.30,CHF,190424.19
2026-05-12,Hermès Genève,Shopping,-858.37,CHF,189565.82
2026-05-17,Privatschule Gebühr,Kids/School,-2415.49,CHF,187150.33
2026-05-19,Hypothekarzins Villa,Housing,-4500.00,CHF,182650.33
2026-05-23,Coop,Groceries,-211.80,CHF,182438.53
2026-05-24,Globus Delikatessa,Groceries,-225.18,CHF,182213.35
2026-05-25,Klinik Lohnzahlung,Income,20093.61,CHF,202306.96
2026-05-25,Globus Delikatessa,Groceries,-229.34,CHF,202077.62
2026-05-31,Portfolio Einzahlung Julius Bär,Investing,-2410.97,CHF,199666.65
2026-05-31,Krankenkasse Zusatzversicherung Premium,Healthcare,-450.51,CHF,199216.14
2026-06-07,Hypothekarzins Villa,Housing,-4500.00,CHF,194716.14
2026-06-08,Globus Delikatessa,Groceries,-172.97,CHF,194543.17
2026-06-08,Globus Delikatessa,Groceries,-147.45,CHF,194395.72
2026-06-08,Krankenkasse Zusatzversicherung Premium,Healthcare,-424.91,CHF,193970.81
2026-06-12,Quartalsbonus,Income,13675.67,CHF,207646.48
2026-06-15,Chalet Miete Verbier,Travel,-2359.12,CHF,205287.36
2026-06-20,Globus Delikatessa,Groceries,-123.06,CHF,205164.30
2026-06-21,Privatschule Gebühr,Kids/School,-3948.69,CHF,201215.61
2026-06-24,Coop,Groceries,-175.10,CHF,201040.51
2026-06-25,Klinik Lohnzahlung,Income,19852.09,CHF,220892.60
2026-06-27,Portfolio Einzahlung Julius Bär,Investing,-2468.77,CHF,218423.83
2026-07-06,Hypothekarzins Villa,Housing,-4500.00,CHF,213923.83
2026-07-08,Globus Delikatessa,Groceries,-237.11,CHF,213686.72
2026-07-13,Portfolio Einzahlung Julius Bär,Investing,-2872.79,CHF,210813.93
2026-07-15,Krankenkasse Zusatzversicherung Premium,Healthcare,-419.75,CHF,210394.18
2026-07-17,Coop,Groceries,-205.09,CHF,210189.09
2026-07-21,Globus Delikatessa,Groceries,-133.07,CHF,210056.02
2026-07-21,Privatschule Gebühr,Kids/School,-2257.19,CHF,207798.83
2026-07-24,Bucherer,Shopping,-571.90,CHF,207226.93
2026-07-24,SWISS First Class,Travel,-971.06,CHF,206255.87
2026-07-25,Klinik Lohnzahlung,Income,20012.53,CHF,226268.40
2026-07-29,Quartalsbonus,Income,11046.25,CHF,237314.65
2026-07-29,Coop,Groceries,-213.97,CHF,237100.68
2026-08-07,UBS Vermögensverwaltungsgebühr,Private Banking,-1007.59,CHF,236093.09
2026-08-12,Portfolio Einzahlung Julius Bär,Investing,-3472.70,CHF,232620.39
2026-08-19,Krankenkasse Zusatzversicherung Premium,Healthcare,-409.01,CHF,232211.38
2026-08-21,Privatschule Gebühr,Kids/School,-2424.77,CHF,229786.61
2026-08-22,Globus Delikatessa,Groceries,-151.72,CHF,229634.89
2026-08-22,Globus Delikatessa,Groceries,-142.53,CHF,229492.36
2026-08-25,Klinik Lohnzahlung,Income,19885.56,CHF,249377.92
2026-08-27,Hypothekarzins Villa,Housing,-4500.00,CHF,244877.92
2026-08-27,Globus Delikatessa,Groceries,-152.87,CHF,244725.05
2026-08-30,Coop,Groceries,-122.25,CHF,244602.80
2026-09-05,Hypothekarzins Villa,Housing,-4500.00,CHF,240102.80
2026-09-05,Globus Delikatessa,Groceries,-118.80,CHF,239984.00
2026-09-06,Privatschule Gebühr,Kids/School,-3396.46,CHF,236587.54
2026-09-08,Krankenkasse Zusatzversicherung Premium,Healthcare,-395.63,CHF,236191.91
2026-09-09,SWISS First Class,Travel,-2748.20,CHF,233443.71
2026-09-18,Portfolio Einzahlung Julius Bär,Investing,-2886.44,CHF,230557.27
2026-09-20,Globus Delikatessa,Groceries,-115.67,CHF,230441.60
2026-09-20,Globus Delikatessa,Groceries,-210.30,CHF,230231.30
2026-09-22,Coop,Groceries,-169.29,CHF,230062.01
