date,description,category,amount,currency,balance
2025-09-22,Family Office Verwaltungsgebühr,Family Office,-3543.59,CHF,26116.41
2025-09-22,Stiftung Spende,Philanthropy,-8308.65,CHF,17807.76
2025-09-22,Hausangestellte Lohn,Staff,-4219.47,CHF,13588.29
2025-10-10,Chalet Gstaad Unterhalt,Properties,-5180.46,CHF,8407.83
2025-10-16,Family Office Verwaltungsgebühr,Family Office,-4541.34,CHF,3866.49
2025-10-23,Konsultationshonorar,Income,61640.39,CHF,65506.88
2025-10-28,Hausangestellte Lohn,Staff,-4639.70,CHF,60867.18
2025-10-29,Private Equity Kapitalabruf,Alternative Investments,-25220.24,CHF,35646.94
2025-10-31,Konsultationshonorar,Income,23520.14,CHF,59167.08
2025-11-10,Konsultationshonorar,Income,60054.45,CHF,119221.53
2025-11-12,Yacht Unterhalt Monaco,Yacht,-3742.86,CHF,115478.67
2025-11-18,Hausangestellte Lohn,Staff,-3095.34,CHF,112383.33
2025-11-20,Family Office Verwaltungsgebühr,Family Office,-3654.56,CHF,108728.77
2025-12-04,Family Office Verwaltungsgebühr,Family Office,-3363.55,CHF,105365.22
2025-12-09,Chalet Gstaad Unterhalt,Properties,-2572.16,CHF,102793.06
2025-12-10,Kapitalgewinn Beteiligungsverkauf,Income,39996.38,CHF,142789.44
2025-12-12,Privatjet Charter NetJets,Travel,-22722.28,CHF,120067.16
2025-12-22,Hausangestellte Lohn,Staff,-3613.47,CHF,116453.69
2025-12-24,Stiftung Spende,Philanthropy,-1614.68,CHF,114839.01
2026-01-04,Family Office Verwaltungsgebühr,Family Office,-3083.99,CHF,111755.02
2026-01-10,Chalet Gstaad Unterhalt,Properties,-2151.11,CHF,109603.91
2026-01-12,Hausangestellte Lohn,Staff,-4341.63,CHF,105262.28
2026-01-15,Luxushotel Cap Ferrat,Travel,-8747.57,CHF,96514.71
2026-01-25,Kapitalgewinn Beteiligungsverkauf,Income,73169.24,CHF,169683.95
2026-01-27,Yacht Unterhalt Monaco,Yacht,-14766.59,CHF,154917.36
2026-02-01,Hausangestellte Lohn,Staff,-3418.75,CHF,151498.61
2026-02-05,Luxushotel Cap Ferrat,Travel,-8485.93,CHF,143012.68
2026-02-08,Private Equity Kapitalabruf,Alternative Investments,-13604.90,CHF,129407.78
2026-02-12,Stiftung Spende,Philanthropy,-5148.01,CHF,124259.77
2026-02-17,Family Office Verwaltungsgebühr,Family Office,-4757.83,CHF,119501.94
2026-02-28,Auktionshaus Sotheby's,Luxury Goods,-30042.77,CHF,89459.17
2026-03-12,Kapitalgewinn Beteiligungsverkauf,Income,65588.81,CHF,155047.98
2026-03-22,Family Office Verwaltungsgebühr,Family Office,-3505.12,CHF,151542.86
2026-03-22,Private Equity Kapitalabruf,Alternative Investments,-46328.69,CHF,105214.17
2026-03-29,Hausangestellte Lohn,Staff,-4176.99,CHF,101037.18
2026-03-30,Villa Côte d'Azur Unterhalt,Properties,-6827.69,CHF,94209.49
2026-04-05,Chalet Gstaad Unterhalt,Properties,-6649.71,CHF,87559.78
2026-04-16,Family Office Verwaltungsgebühr,Family Office,-4379.48,CHF,83180.30
2026-04-18,Kapitalgewinn Beteiligungsverkauf,Income,54907.40,CHF,138087.70
2026-04-19,Hausangestellte Lohn,Staff,-3952.05,CHF,134135.65
2026-04-21,Dividende Holding AG,Income,43720.15,CHF,177855.80
