date,description,category,amount,currency,balance
2025-09-22,Familienstiftung Ausschüttung,Income,284592.60,CHF,285092.60
2025-09-22,Family Office Betriebskosten,Family Office,-13101.16,CHF,271991.44
2025-09-22,Stiftung Spendenauszahlung,Philanthropy,-95815.76,CHF,176175.68
2025-09-22,Hauspersonal Lohnliste,Staff,-24803.19,CHF,151372.49
2025-09-22,Luxusresort Malediven,Travel,-19751.84,CHF,131620.65
2025-09-27,Villa Unterhalt Côte d'Azur,Properties,-5463.36,CHF,126157.29
2025-10-06,Privatjet Betriebskosten,Private Jet,-44508.86,CHF,81648.43
2025-10-11,Family Office Betriebskosten,Family Office,-13868.92,CHF,67779.51
2025-10-14,Luxusresort Malediven,Travel,-21399.60,CHF,46379.91
2025-10-27,Hauspersonal Lohnliste,Staff,-19075.37,CHF,27304.54
2025-10-29,Apartment Unterhalt London,Properties,-10776.70,CHF,16527.84
2025-10-30,Familienstiftung Ausschüttung,Income,493852.75,CHF,510380.59
2025-11-08,Privatjet Betriebskosten,Private Jet,-59107.53,CHF,451273.06
2025-11-11,Kunstauktion Christie's,Luxury Goods,-92849.57,CHF,358423.49
2025-11-15,Family Office Betriebskosten,Family Office,-17818.29,CHF,340605.20
2025-11-20,Apartment Unterhalt London,Properties,-10826.68,CHF,329778.52
2025-11-22,Hauspersonal Lohnliste,Staff,-19026.89,CHF,310751.63
2025-11-23,Stiftung Spendenauszahlung,Philanthropy,-61402.38,CHF,249349.25
2025-11-29,Familienstiftung Ausschüttung,Income,412193.46,CHF,661542.71
2025-12-04,Family Office Betriebskosten,Family Office,-16763.91,CHF,644778.80
2025-12-08,Holding AG Dividende,Income,102708.43,CHF,747487.23
2025-12-08,Stiftung Spendenauszahlung,Philanthropy,-25294.00,CHF,722193.23
2025-12-09,Apartment Unterhalt London,Properties,-8741.49,CHF,713451.74
2025-12-11,Hauspersonal Lohnliste,Staff,-23035.14,CHF,690416.60
2025-12-19,Kunstauktion Christie's,Luxury Goods,-198936.88,CHF,491479.72
2025-12-23,Holding AG Dividende,Income,210082.69,CHF,701562.41
2026-01-06,Yacht Crew & Unterhalt,Yacht,-34549.90,CHF,667012.51
2026-01-12,Familienstiftung Ausschüttung,Income,152874.38,CHF,819886.89
2026-01-13,Hauspersonal Lohnliste,Staff,-18286.53,CHF,801600.36
2026-01-24,Privatjet Langstrecke,Travel,-26019.77,CHF,775580.59
2026-01-27,Family Office Betriebskosten,Family Office,-12600.26,CHF,762980.33
2026-01-28,Holding AG Dividende,Income,209825.58,CHF,972805.91
2026-01-30,Apartment Unterhalt London,Properties,-8657.50,CHF,964148.41
2026-02-02,Family Office Betriebskosten,Family Office,-14506.76,CHF,949641.65
2026-02-03,Privatjet Langstrecke,Travel,-21792.95,CHF,927848.70
2026-02-05,Hauspersonal Lohnliste,Staff,-19963.30,CHF,907885.40
2026-02-10,Trust Distribution,Income,466177.23,CHF,1374062.63
2026-02-11,Villa Unterhalt Côte d'Azur,Properties,-5038.15,CHF,1369024.48
2026-02-24,Pictet Family Office Gebühr,Private Banking,-14380.64,CHF,1354643.84
2026-03-04,Privatjet Langstrecke,Travel,-6553.27,CHF,1348090.57
2026-03-06,Family Office Betriebskosten,Family Office,-18227.87,CHF,1329862.70
2026-03-08,Holding AG Dividende,Income,309717.30,CHF,1639580.00
2026-03-11,Anwesen Unterhalt St. Moritz,Properties,-18883.90,CHF,1620696.10
2026-03-16,Trust Distribution,Income,85531.68,CHF,1706227.78
2026-03-24,Yacht Crew & Unterhalt,Yacht,-45088.74,CHF,1661139.04
2026-03-27,Hauspersonal Lohnliste,Staff,-15727.64,CHF,1645411.40
2026-04-08,Hauspersonal Lohnliste,Staff,-19976.05,CHF,1625435.35
2026-04-13,Luxusresort Malediven,Travel,-23638.66,CHF,1601796.69
2026-04-15,Trust Distribution,Income,306327.07,CHF,1908123.76
2026-04-16,Family Office Betriebskosten,Family Office,-10430.49,CHF,1897693.27
2026-04-17,Anwesen Unterhalt St. Moritz,Properties,-15932.91,CHF,1881760.36
2026-04-21,Familienstiftung Ausschüttung,Income,252764.71,CHF,2134525.07
2026-04-28,Stiftung Spendenauszahlung,Philanthropy,-88045.25,CHF,2046479.82
2026-05-03,Family Office Betriebskosten,Family Office,-15695.81,CHF,2030784.01
2026-05-06,Yacht Crew & Unterhalt,Yacht,-29152.61,CHF,2001631.40
2026-05-07,Familienstiftung Ausschüttung,Income,113143.15,CHF,2114774.55
2026-05-07,Privatjet Langstrecke,Travel,-18400.74,CHF,2096373.81
2026-05-24,Villa Unterhalt Côte d'Azur,Properties,-13637.95,CHF,2082735.86
2026-05-27,Hauspersonal Lohnliste,Staff,-17344.22,CHF,2065391.64
2026-05-28,Stiftung Spendenauszahlung,Philanthropy,-34390.46,CHF,2031001.18
2026-05-31,Familienstiftung Ausschüttung,Income,475261.16,CHF,2506262.34
2026-06-06,Hauspersonal Lohnliste,Staff,-23751.83,CHF,2482510.51
2026-06-10,Familienstiftung Ausschüttung,Income,288493.55,CHF,2771004.06
2026-06-20,Privatjet Betriebskosten,Private Jet,-59426.86,CHF,2711577.20
2026-06-25,Family Office Betriebskosten,Family Office,-15933.40,CHF,2695643.80
2026-06-26,Pictet Family Office Gebühr,Private Banking,-20924.59,CHF,2674719.21
2026-06-28,Anwesen Unterhalt St. Moritz,Properties,-6931.33,CHF,2667787.88
2026-06-29,Stiftung Spendenauszahlung,Philanthropy,-72048.17,CHF,2595739.71
2026-07-11,Privatjet Betriebskosten,Private Jet,-20846.32,CHF,2574893.39
2026-07-15,Apartment Unterhalt London,Properties,-16066.01,CHF,2558827.38
2026-07-17,Privatjet Langstrecke,Travel,-28801.22,CHF,2530026.16
2026-07-18,Hauspersonal Lohnliste,Staff,-23508.42,CHF,2506517.74
2026-07-19,Stiftung Spendenauszahlung,Philanthropy,-33407.96,CHF,2473109.78
2026-07-20,Family Office Betriebskosten,Family Office,-10089.25,CHF,2463020.53
