date,description,category,amount,currency,balance
2025-09-22,Wolt Auszahlung,Income,195.59,CHF,3855.59
2025-09-22,Uber Eats Auszahlung,Income,78.87,CHF,3934.46
2025-09-22,Wolt Auszahlung,Income,164.25,CHF,4098.71
2025-09-22,Uber Eats Auszahlung,Income,138.06,CHF,4236.77
2025-09-22,Wolt Auszahlung,Income,157.19,CHF,4393.96
2025-09-22,McDonald's Zürich,Food,-12.78,CHF,4381.18
2025-09-22,Kebab Haus,Food,-9.34,CHF,4371.84
2025-09-22,Kebab Haus,Food,-10.20,CHF,4361.64
2025-09-22,Coop Pronto,Food,-10.39,CHF,4351.25
2025-09-22,McDonald's Zürich,Food,-17.84,CHF,4333.41
2025-09-22,Kebab Haus,Food,-12.07,CHF,4321.34
2025-09-22,Auto Versicherung,Transportation,-35.95,CHF,4285.39
2025-09-22,Auto Versicherung,Transportation,-47.85,CHF,4237.54
2025-09-22,Migrol Tankstelle,Transportation,-61.49,CHF,4176.05
2025-09-22,Spotify Schweiz,Subscriptions,-8.19,CHF,4167.86
2025-09-22,PlayStation Store,Subscriptions,-8.14,CHF,4159.72
2025-09-22,Spotify Schweiz,Subscriptions,-11.32,CHF,4148.40
2025-09-22,Pathé Kino,Entertainment,-37.28,CHF,4111.12
2025-09-22,Bar Zürich,Entertainment,-16.71,CHF,4094.41
2025-09-22,Bar Zürich,Entertainment,-21.59,CHF,4072.82
2025-09-22,Bancomat Bezug,Misc,-17.14,CHF,4055.68
2025-09-22,TWINT Transfer,Misc,-68.32,CHF,3987.36
2025-09-22,TWINT Transfer,Misc,-11.30,CHF,3976.06
2025-09-23,Uber Auszahlung,Income,131.26,CHF,4107.32
2025-09-25,Dominos Pizza,Food,-13.37,CHF,4093.95
2025-09-25,Salt Mobile Rechnung,Phone/Utilities,-57.28,CHF,4036.67
2025-09-26,Wolt Auszahlung,Income,96.60,CHF,4133.27
2025-09-26,WG-Zimmer Miete,Housing,-542.62,CHF,3590.65
2025-09-26,Dominos Pizza,Food,-15.41,CHF,3575.24
2025-09-26,Denner,Groceries,-26.61,CHF,3548.63
2025-09-28,Coop Pronto,Food,-16.26,CHF,3532.37
2025-09-28,Migros,Groceries,-37.92,CHF,3494.45
2025-09-29,Steam Store,Entertainment,-41.61,CHF,3452.84
2025-09-30,Dominos Pizza,Food,-11.81,CHF,3441.03
2025-09-30,Denner,Groceries,-31.82,CHF,3409.21
2025-09-30,Migrol Tankstelle,Transportation,-71.22,CHF,3337.99
2025-10-01,Uber Auszahlung,Income,63.57,CHF,3401.56
2025-10-01,Coop Pronto,Food,-15.62,CHF,3385.94
2025-10-01,Netflix,Subscriptions,-12.08,CHF,3373.86
2025-10-03,TWINT Transfer,Misc,-52.54,CHF,3321.32
2025-10-05,Migros,Groceries,-37.40,CHF,3283.92
2025-10-06,Lidl Schweiz,Groceries,-45.87,CHF,3238.05
2025-10-08,WG-Zimmer Miete,Housing,-506.60,CHF,2731.45
2025-10-08,Kebab Haus,Food,-10.64,CHF,2720.81
2025-10-09,Auto Versicherung,Transportation,-68.31,CHF,2652.50
2025-10-09,TWINT Transfer,Misc,-40.76,CHF,2611.74
2025-10-10,Kebab Haus,Food,-8.49,CHF,2603.25
2025-10-11,Dominos Pizza,Food,-17.51,CHF,2585.74
2025-10-11,Dominos Pizza,Food,-9.21,CHF,2576.53
2025-10-11,Steam Store,Entertainment,-48.75,CHF,2527.78
2025-10-13,Dominos Pizza,Food,-8.87,CHF,2518.91
2025-10-15,Lidl Schweiz,Groceries,-36.61,CHF,2482.30
2025-10-16,Salt Mobile Rechnung,Phone/Utilities,-57.99,CHF,2424.31
2025-10-18,Uber Eats Auszahlung,Income,61.47,CHF,2485.78
2025-10-18,Wolt Auszahlung,Income,97.29,CHF,2583.07
2025-10-18,Migrol Tankstelle,Transportation,-46.82,CHF,2536.25
2025-10-18,Pathé Kino,Entertainment,-22.99,CHF,2513.26
2025-10-19,McDonald's Zürich,Food,-17.69,CHF,2495.57
2025-10-21,Bar Zürich,Entertainment,-50.28,CHF,2445.29
2025-10-22,Uber Eats Auszahlung,Income,94.66,CHF,2539.95
2025-10-22,Uber Eats Auszahlung,Income,95.00,CHF,2634.95
2025-10-23,SBB Ticket,Transportation,-77.21,CHF,2557.74
2025-10-23,TWINT Transfer,Misc,-16.74,CHF,2541.00
2025-10-24,Wolt Auszahlung,Income,64.65,CHF,2605.65
2025-10-25,Uber Eats Auszahlung,Income,130.06,CHF,2735.71
2025-10-25,Migros Take Away,Food,-17.51,CHF,2718.20
2025-10-26,PlayStation Store,Subscriptions,-15.21,CHF,2702.99
2025-10-27,Netflix,Subscriptions,-7.08,CHF,2695.91
2025-10-28,McDonald's Zürich,Food,-8.85,CHF,2687.06
2025-10-29,Kebab Haus,Food,-19.06,CHF,2668.00
2025-10-30,Auto Versicherung,Transportation,-63.06,CHF,2604.94
2025-10-30,Bar Zürich,Entertainment,-19.66,CHF,2585.28
2025-10-31,Wolt Auszahlung,Income,106.37,CHF,2691.65
2025-11-02,Auto Versicherung,Transportation,-61.41,CHF,2630.24
2025-11-03,Migrol Tankstelle,Transportation,-36.35,CHF,2593.89
2025-11-03,Salt Mobile Rechnung,Phone/Utilities,-40.29,CHF,2553.60
2025-11-04,Uber Auszahlung,Income,89.75,CHF,2643.35
2025-11-04,Dominos Pizza,Food,-16.51,CHF,2626.84
2025-11-05,McDonald's Zürich,Food,-14.55,CHF,2612.29
2025-11-05,Migrol Tankstelle,Transportation,-23.82,CHF,2588.47
2025-11-05,Bancomat Bezug,Misc,-14.83,CHF,2573.64
2025-11-06,Kebab Haus,Food,-17.31,CHF,2556.33
2025-11-06,Denner,Groceries,-22.44,CHF,2533.89
2025-11-07,Uber Auszahlung,Income,108.54,CHF,2642.43
2025-11-08,Pathé Kino,Entertainment,-32.86,CHF,2609.57
2025-11-09,Bar Zürich,Entertainment,-12.54,CHF,2597.03
2025-11-10,WG-Zimmer Miete,Housing,-506.44,CHF,2090.59
2025-11-10,Kebab Haus,Food,-9.52,CHF,2081.07
2025-11-10,Denner,Groceries,-42.04,CHF,2039.03
2025-11-10,Spotify Schweiz,Subscriptions,-7.64,CHF,2031.39
2025-11-11,Uber Auszahlung,Income,203.29,CHF,2234.68
2025-11-13,Wolt Auszahlung,Income,154.24,CHF,2388.92
2025-11-14,Netflix,Subscriptions,-10.43,CHF,2378.49
2025-11-15,Steam Store,Entertainment,-23.49,CHF,2355.00
2025-11-16,Ryanair Flug,Travel,-82.28,CHF,2272.72
2025-11-17,Uber Eats Auszahlung,Income,209.83,CHF,2482.55
2025-11-17,Uber Auszahlung,Income,192.81,CHF,2675.36
2025-11-17,Kebab Haus,Food,-19.39,CHF,2655.97
2025-11-20,Spotify Schweiz,Subscriptions,-10.92,CHF,2645.05
2025-11-20,Bancomat Bezug,Misc,-30.03,CHF,2615.02
2025-11-24,Bar Zürich,Entertainment,-39.58,CHF,2575.44
2025-11-25,McDonald's Zürich,Food,-17.54,CHF,2557.90
2025-11-25,Dominos Pizza,Food,-11.79,CHF,2546.11
2025-11-26,Dominos Pizza,Food,-16.07,CHF,2530.04
2025-11-27,Uber Auszahlung,Income,206.60,CHF,2736.64
2025-11-27,Coop Pronto,Food,-18.39,CHF,2718.25
2025-11-28,Uber Auszahlung,Income,107.42,CHF,2825.67
2025-11-28,Dominos Pizza,Food,-9.85,CHF,2815.82
2025-11-28,Migrol Tankstelle,Transportation,-47.83,CHF,2767.99
2025-11-28,Bancomat Bezug,Misc,-62.29,CHF,2705.70
2025-11-29,Uber Auszahlung,Income,139.90,CHF,2845.60
2025-11-29,Migros,Groceries,-40.90,CHF,2804.70
2025-12-02,Uber Auszahlung,Income,109.36,CHF,2914.06
2025-12-02,Migrol Tankstelle,Transportation,-28.23,CHF,2885.83
2025-12-03,Migros,Groceries,-21.40,CHF,2864.43
2025-12-05,TWINT Transfer,Misc,-65.19,CHF,2799.24
2025-12-06,Dominos Pizza,Food,-11.59,CHF,2787.65
2025-12-06,Kebab Haus,Food,-8.58,CHF,2779.07
2025-12-06,McDonald's Zürich,Food,-11.10,CHF,2767.97
2025-12-07,Migros,Groceries,-40.99,CHF,2726.98
2025-12-07,Bar Zürich,Entertainment,-28.35,CHF,2698.63
2025-12-08,Uber Eats Auszahlung,Income,179.00,CHF,2877.63
2025-12-08,Salt Mobile Rechnung,Phone/Utilities,-53.60,CHF,2824.03
2025-12-09,WG-Zimmer Miete,Housing,-460.77,CHF,2363.26
2025-12-09,Migros Take Away,Food,-17.33,CHF,2345.93
2025-12-11,Denner,Groceries,-33.76,CHF,2312.17
2025-12-12,SBB Ticket,Transportation,-26.45,CHF,2285.72
2025-12-12,Bancomat Bezug,Misc,-67.76,CHF,2217.96
2025-12-13,Interrail Pass Europa,Travel,-109.01,CHF,2108.95
2025-12-14,Uber Eats Auszahlung,Income,166.36,CHF,2275.31
2025-12-14,PlayStation Store,Subscriptions,-7.42,CHF,2267.89
2025-12-14,Pathé Kino,Entertainment,-16.68,CHF,2251.21
2025-12-15,Coop Pronto,Food,-8.13,CHF,2243.08
2025-12-15,SBB Ticket,Transportation,-63.18,CHF,2179.90
2025-12-16,Uber Eats Auszahlung,Income,177.24,CHF,2357.14
2025-12-17,Uber Eats Auszahlung,Income,194.39,CHF,2551.53
2025-12-18,Uber Auszahlung,Income,201.24,CHF,2752.77
2025-12-18,Dominos Pizza,Food,-13.27,CHF,2739.50
2025-12-18,Bar Zürich,Entertainment,-47.55,CHF,2691.95
2025-12-19,Uber Auszahlung,Income,152.51,CHF,2844.46
2025-12-19,Coop Pronto,Food,-8.23,CHF,2836.23
2025-12-20,Steam Store,Entertainment,-50.66,CHF,2785.57
2025-12-22,Wolt Auszahlung,Income,141.35,CHF,2926.92
2025-12-24,Uber Eats Auszahlung,Income,119.95,CHF,3046.87
2025-12-24,Kebab Haus,Food,-19.84,CHF,3027.03
2025-12-24,Netflix,Subscriptions,-5.87,CHF,3021.16
2025-12-25,SBB Ticket,Transportation,-66.00,CHF,2955.16
2025-12-26,Coop Pronto,Food,-13.16,CHF,2942.00
2025-12-26,Migros Take Away,Food,-15.76,CHF,2926.24
2025-12-27,TWINT Transfer,Misc,-24.06,CHF,2902.18
2025-12-31,Netflix,Subscriptions,-7.27,CHF,2894.91
2026-01-01,Uber Auszahlung,Income,121.39,CHF,3016.30
2026-01-01,WG-Zimmer Miete,Housing,-511.37,CHF,2504.93
2026-01-01,Denner,Groceries,-46.44,CHF,2458.49
2026-01-02,Lidl Schweiz,Groceries,-19.77,CHF,2438.72
2026-01-02,Migrol Tankstelle,Transportation,-75.88,CHF,2362.84
2026-01-03,PlayStation Store,Subscriptions,-9.84,CHF,2353.00
2026-01-06,Wolt Auszahlung,Income,140.36,CHF,2493.36
2026-01-07,Bar Zürich,Entertainment,-32.44,CHF,2460.92
2026-01-08,Uber Eats Auszahlung,Income,124.71,CHF,2585.63
2026-01-08,Kebab Haus,Food,-13.83,CHF,2571.80
2026-01-08,Migros Take Away,Food,-11.76,CHF,2560.04
2026-01-09,Bancomat Bezug,Misc,-29.19,CHF,2530.85
2026-01-11,Coop Pronto,Food,-14.72,CHF,2516.13
2026-01-13,McDonald's Zürich,Food,-10.07,CHF,2506.06
2026-01-13,Netflix,Subscriptions,-11.17,CHF,2494.89
2026-01-13,Bancomat Bezug,Misc,-17.66,CHF,2477.23
2026-01-14,Pathé Kino,Entertainment,-22.16,CHF,2455.07
2026-01-15,Uber Auszahlung,Income,205.56,CHF,2660.63
2026-01-16,Salt Mobile Rechnung,Phone/Utilities,-54.49,CHF,2606.14
2026-01-16,Steam Store,Entertainment,-20.87,CHF,2585.27
2026-01-17,Migros Take Away,Food,-11.81,CHF,2573.46
2026-01-17,SBB Ticket,Transportation,-37.55,CHF,2535.91
2026-01-18,Uber Auszahlung,Income,157.43,CHF,2693.34
2026-01-18,Bancomat Bezug,Misc,-71.90,CHF,2621.44
2026-01-19,Coop Pronto,Food,-9.50,CHF,2611.94
2026-01-21,McDonald's Zürich,Food,-10.63,CHF,2601.31
2026-01-22,Lidl Schweiz,Groceries,-19.11,CHF,2582.20
2026-01-23,Pathé Kino,Entertainment,-23.76,CHF,2558.44
2026-01-24,Auto Versicherung,Transportation,-36.97,CHF,2521.47
2026-01-25,Uber Auszahlung,Income,91.92,CHF,2613.39
2026-01-26,SBB Ticket,Transportation,-41.15,CHF,2572.24
2026-01-26,Netflix,Subscriptions,-11.94,CHF,2560.30
2026-01-27,Dominos Pizza,Food,-11.32,CHF,2548.98
2026-01-30,Kebab Haus,Food,-16.24,CHF,2532.74
2026-01-31,Uber Eats Auszahlung,Income,195.59,CHF,2728.33
2026-01-31,Migros Take Away,Food,-10.70,CHF,2717.63
2026-02-02,Bar Zürich,Entertainment,-32.68,CHF,2684.95
2026-02-04,WG-Zimmer Miete,Housing,-532.61,CHF,2152.34
2026-02-04,Denner,Groceries,-37.62,CHF,2114.72
2026-02-06,Bar Zürich,Entertainment,-43.26,CHF,2071.46
2026-02-07,Wolt Auszahlung,Income,128.17,CHF,2199.63
2026-02-07,PlayStation Store,Subscriptions,-16.53,CHF,2183.10
2026-02-10,Coop Pronto,Food,-11.58,CHF,2171.52
2026-02-11,Wolt Auszahlung,Income,133.30,CHF,2304.82
2026-02-13,Coop Pronto,Food,-10.12,CHF,2294.70
2026-02-14,Uber Eats Auszahlung,Income,137.59,CHF,2432.29
2026-02-14,Uber Auszahlung,Income,115.37,CHF,2547.66
2026-02-14,Dominos Pizza,Food,-10.61,CHF,2537.05
2026-02-14,Auto Versicherung,Transportation,-74.69,CHF,2462.36
2026-02-15,Migros,Groceries,-28.96,CHF,2433.40
2026-02-15,TWINT Transfer,Misc,-11.97,CHF,2421.43
2026-02-16,Uber Auszahlung,Income,199.20,CHF,2620.63
2026-02-17,Kebab Haus,Food,-17.19,CHF,2603.44
2026-02-18,Uber Auszahlung,Income,91.97,CHF,2695.41
2026-02-18,Uber Auszahlung,Income,159.76,CHF,2855.17
2026-02-18,Wolt Auszahlung,Income,153.51,CHF,3008.68
2026-02-18,SBB Ticket,Transportation,-33.35,CHF,2975.33
2026-02-18,Bancomat Bezug,Misc,-71.25,CHF,2904.08
2026-02-20,McDonald's Zürich,Food,-9.02,CHF,2895.06
2026-02-20,Dominos Pizza,Food,-19.52,CHF,2875.54
2026-02-20,TWINT Transfer,Misc,-54.15,CHF,2821.39
2026-02-21,Kebab Haus,Food,-18.53,CHF,2802.86
2026-02-23,Migros Take Away,Food,-16.42,CHF,2786.44
2026-02-23,PlayStation Store,Subscriptions,-12.70,CHF,2773.74
2026-02-23,Steam Store,Entertainment,-30.30,CHF,2743.44
2026-02-23,Steam Store,Entertainment,-16.08,CHF,2727.36
2026-02-24,McDonald's Zürich,Food,-17.09,CHF,2710.27
2026-02-24,Lidl Schweiz,Groceries,-48.85,CHF,2661.42
2026-02-24,Salt Mobile Rechnung,Phone/Utilities,-42.75,CHF,2618.67
2026-02-26,Uber Auszahlung,Income,80.68,CHF,2699.35
2026-02-26,Wolt Auszahlung,Income,96.74,CHF,2796.09
2026-02-26,Migrol Tankstelle,Transportation,-44.71,CHF,2751.38
2026-02-28,Kebab Haus,Food,-14.63,CHF,2736.75
