date,description,category,amount,currency,balance
2025-09-22,Studio Miete,Housing,-700.00,CHF,920.00
2025-09-22,Denner,Groceries,-53.04,CHF,866.96
2025-09-22,Coop,Groceries,-47.51,CHF,819.45
2025-09-22,Denner,Groceries,-32.01,CHF,787.44
2025-09-22,Starbucks Zürich,Food,-11.11,CHF,776.33
2025-09-22,Läderach,Food,-13.10,CHF,763.23
2025-09-22,Starbucks Zürich,Food,-6.23,CHF,757.00
2025-09-22,Coop Restaurant,Food,-10.40,CHF,746.60
2025-09-22,Postauto Ticket,Transportation,-36.36,CHF,710.24
2025-09-22,SBB Halbtax Abo,Transportation,-28.67,CHF,681.57
2025-09-22,Spotify Schweiz,Subscriptions,-10.79,CHF,670.78
2025-09-22,EWZ Strom,Phone/Utilities,-69.41,CHF,601.37
2025-09-22,EWZ Strom,Phone/Utilities,-44.11,CHF,557.26
2025-09-22,Sephora Schweiz,Shopping,-39.29,CHF,517.97
2025-09-22,Sephora Schweiz,Shopping,-21.79,CHF,496.18
2025-09-22,Bar Abend,Entertainment,-34.80,CHF,461.38
2025-09-22,Bar Abend,Entertainment,-27.98,CHF,433.40
2025-09-22,Pathé Kino,Entertainment,-30.64,CHF,402.76
2025-09-22,SBB Sparbillett,Travel,-154.91,CHF,247.85
2025-09-23,Spotify Schweiz,Subscriptions,-11.92,CHF,235.93
2025-09-24,Postauto Ticket,Transportation,-21.98,CHF,213.95
2025-09-25,H&M Schweiz Lohnzahlung,Income,3665.67,CHF,3879.62
2025-09-25,Netflix,Subscriptions,-11.40,CHF,3868.22
2025-09-26,Postauto Ticket,Transportation,-34.71,CHF,3833.51
2025-09-27,Denner,Groceries,-27.48,CHF,3806.03
2025-09-28,Starbucks Zürich,Food,-14.22,CHF,3791.81
2025-09-29,Zalando,Shopping,-39.81,CHF,3752.00
2025-09-30,Starbucks Zürich,Food,-12.30,CHF,3739.70
2025-09-30,Läderach,Food,-7.13,CHF,3732.57
2025-09-30,Starbucks Zürich,Food,-10.47,CHF,3722.10
2025-10-01,Coop Restaurant,Food,-10.47,CHF,3711.63
2025-10-02,Läderach,Food,-10.93,CHF,3700.70
2025-10-03,Läderach,Food,-8.63,CHF,3692.07
2025-10-03,Zalando,Shopping,-68.33,CHF,3623.74
2025-10-07,Coop Restaurant,Food,-16.09,CHF,3607.65
2025-10-07,Läderach,Food,-7.39,CHF,3600.26
2025-10-07,Spotify Schweiz,Subscriptions,-10.52,CHF,3589.74
2025-10-11,SBB Halbtax Abo,Transportation,-38.82,CHF,3550.92
2025-10-12,Denner,Groceries,-52.83,CHF,3498.09
2025-10-13,Postauto Ticket,Transportation,-24.52,CHF,3473.57
2025-10-15,Studio Miete,Housing,-700.00,CHF,2773.57
2025-10-15,Coop Restaurant,Food,-8.50,CHF,2765.07
2025-10-16,SBB Halbtax Abo,Transportation,-12.63,CHF,2752.44
2025-10-18,Denner,Groceries,-39.09,CHF,2713.35
2025-10-18,Spotify Schweiz,Subscriptions,-13.77,CHF,2699.58
2025-10-18,Zalando,Shopping,-70.07,CHF,2629.51
2025-10-20,Coop,Groceries,-41.40,CHF,2588.11
2025-10-20,Läderach,Food,-6.89,CHF,2581.22
2025-10-20,Bar Abend,Entertainment,-43.24,CHF,2537.98
2025-10-21,Spotify Schweiz,Subscriptions,-8.24,CHF,2529.74
2025-10-21,Zalando,Shopping,-20.58,CHF,2509.16
2025-10-24,Denner,Groceries,-28.86,CHF,2480.30
2025-10-25,H&M Schweiz Lohnzahlung,Income,3664.49,CHF,6144.79
2025-10-27,Läderach,Food,-6.19,CHF,6138.60
2025-10-28,Swisscom Rechnung,Phone/Utilities,-88.24,CHF,6050.36
2025-10-30,EWZ Strom,Phone/Utilities,-51.88,CHF,5998.48
2025-10-30,Bar Abend,Entertainment,-38.95,CHF,5959.53
2025-10-31,Postauto Ticket,Transportation,-37.04,CHF,5922.49
2025-10-31,Bar Abend,Entertainment,-39.99,CHF,5882.50
2025-10-31,Airbnb Amsterdam,Travel,-180.32,CHF,5702.18
2025-11-01,Migros,Groceries,-51.95,CHF,5650.23
2025-11-01,SBB Halbtax Abo,Transportation,-26.28,CHF,5623.95
2025-11-02,Spotify Schweiz,Subscriptions,-13.63,CHF,5610.32
2025-11-02,Zalando,Shopping,-21.11,CHF,5589.21
2025-11-03,Postauto Ticket,Transportation,-37.53,CHF,5551.68
2025-11-04,Coop Restaurant,Food,-7.48,CHF,5544.20
2025-11-04,Postauto Ticket,Transportation,-20.52,CHF,5523.68
2025-11-07,Starbucks Zürich,Food,-14.31,CHF,5509.37
2025-11-08,Pathé Kino,Entertainment,-34.94,CHF,5474.43
2025-11-12,Studio Miete,Housing,-700.00,CHF,4774.43
2025-11-12,Starbucks Zürich,Food,-17.52,CHF,4756.91
2025-11-13,Läderach,Food,-16.65,CHF,4740.26
2025-11-14,H&M,Shopping,-50.00,CHF,4690.26
2025-11-14,Pathé Kino,Entertainment,-28.53,CHF,4661.73
2025-11-14,Bar Abend,Entertainment,-22.92,CHF,4638.81
2025-11-15,Läderach,Food,-7.68,CHF,4631.13
2025-11-19,EWZ Strom,Phone/Utilities,-70.79,CHF,4560.34
2025-11-20,Starbucks Zürich,Food,-13.91,CHF,4546.43
2025-11-21,Denner,Groceries,-23.61,CHF,4522.82
2025-11-23,Disney+,Subscriptions,-13.50,CHF,4509.32
2025-11-23,EWZ Strom,Phone/Utilities,-86.14,CHF,4423.18
2025-11-24,Denner,Groceries,-25.50,CHF,4397.68
2025-11-24,Läderach,Food,-14.47,CHF,4383.21
2025-11-25,H&M Schweiz Lohnzahlung,Income,3536.14,CHF,7919.35
2025-11-25,H&M Schweiz 13. Monatslohn,Income,3600.00,CHF,11519.35
2025-11-26,Denner,Groceries,-49.07,CHF,11470.28
2025-11-26,Zalando,Shopping,-32.73,CHF,11437.55
2025-11-27,Postauto Ticket,Transportation,-35.01,CHF,11402.54
2025-11-27,Netflix,Subscriptions,-8.30,CHF,11394.24
2025-11-28,Läderach,Food,-10.01,CHF,11384.23
2025-12-04,SBB Halbtax Abo,Transportation,-39.12,CHF,11345.11
2025-12-05,Migros,Groceries,-50.18,CHF,11294.93
