date,description,category,amount,currency,balance
2025-09-22,Hypothekarzins,Housing,-2100.00,CHF,2890.00
2025-09-22,Aldi Suisse,Groceries,-123.30,CHF,2766.70
2025-09-22,Coop,Groceries,-88.50,CHF,2678.20
2025-09-22,Migros,Groceries,-145.39,CHF,2532.81
2025-09-22,Coop,Groceries,-94.41,CHF,2438.40
2025-09-22,Restaurant Migros,Food,-42.94,CHF,2395.46
2025-09-22,Bistro Zürich,Food,-16.62,CHF,2378.84
2025-09-22,Restaurant Migros,Food,-63.17,CHF,2315.67
2025-09-22,Sushi Restaurant,Food,-59.49,CHF,2256.18
2025-09-22,EWZ Strom,Utilities,-128.54,CHF,2127.64
2025-09-22,Wasserwerk,Utilities,-42.08,CHF,2085.56
2025-09-22,Migrol Tankstelle,Transportation,-253.10,CHF,1832.46
2025-09-22,Migrol Tankstelle,Transportation,-225.89,CHF,1606.57
2025-09-22,Säule 3a Einzahlung,Retirement,-400.00,CHF,1206.57
2025-09-22,Digitec Galaxus,Shopping,-110.68,CHF,1095.89
2025-09-22,Media Markt,Shopping,-135.82,CHF,960.07
2025-09-22,Konzert Ticketcorner,Entertainment,-72.99,CHF,887.08
2025-09-22,Date Night Restaurant,Entertainment,-135.08,CHF,752.00
2025-09-22,Netflix,Subscriptions,-14.59,CHF,737.41
2025-09-22,iCloud Speicher,Subscriptions,-16.18,CHF,721.23
2025-09-23,Migrol Tankstelle,Transportation,-70.72,CHF,650.51
2025-09-25,Tech AG Lohnzahlung,Income,9151.79,CHF,9802.30
2025-09-27,Restaurant Migros,Food,-52.67,CHF,9749.63
2025-09-28,Swisscom Internet,Utilities,-77.19,CHF,9672.44
2025-09-29,Restaurant Migros,Food,-46.13,CHF,9626.31
2025-09-29,Digitec Galaxus,Shopping,-67.21,CHF,9559.10
2025-10-02,Coop,Groceries,-120.50,CHF,9438.60
2025-10-02,Restaurant Migros,Food,-16.76,CHF,9421.84
2025-10-02,NZZ Abo,Subscriptions,-10.17,CHF,9411.67
2025-10-05,Hypothekarzins,Housing,-2100.00,CHF,7311.67
2025-10-05,Migros,Groceries,-62.01,CHF,7249.66
