date,description,category,amount,currency,balance
2025-09-22,Hypothekarzins,Housing,-1800.00,CHF,3060.00
2025-09-22,Coop,Groceries,-147.51,CHF,2912.49
2025-09-22,Coop,Groceries,-177.26,CHF,2735.23
2025-09-22,Migros,Groceries,-130.40,CHF,2604.83
2025-09-22,Kinderturnen Gebühr,Kids/School,-114.05,CHF,2490.78
2025-09-22,Klavierunterricht,Kids/School,-90.69,CHF,2400.09
2025-09-22,Erdgas Versorgung,Utilities,-74.46,CHF,2325.63
2025-09-22,Erdgas Versorgung,Utilities,-86.81,CHF,2238.82
2025-09-22,Garage Autoleasing,Transportation,-320.28,CHF,1918.54
2025-09-22,Familienrestaurant,Food,-43.46,CHF,1875.08
2025-09-22,Pizzeria,Food,-49.68,CHF,1825.40
2025-09-22,Familienrestaurant,Food,-57.24,CHF,1768.16
2025-09-22,Pensionskasse Einkauf,Retirement,-250.00,CHF,1518.16
2025-09-23,EWZ Strom,Utilities,-74.88,CHF,1443.28
2025-09-23,Migrol Tankstelle,Transportation,-344.25,CHF,1099.03
2025-09-23,Garage Autoleasing,Transportation,-352.12,CHF,746.91
2025-09-24,Migros,Groceries,-109.34,CHF,637.57
2025-09-25,Schulamt Lohnzahlung,Income,7809.59,CHF,8447.16
2025-09-28,Lebensversicherung,Insurance,-117.00,CHF,8330.16
2025-09-29,Familienrestaurant,Food,-61.14,CHF,8269.02
2025-10-01,Hypothekarzins,Housing,-1800.00,CHF,6469.02
2025-10-02,Denner,Groceries,-147.85,CHF,6321.17
2025-10-02,Familienrestaurant,Food,-55.73,CHF,6265.44
2025-10-02,Pizzeria,Food,-36.49,CHF,6228.95
2025-10-03,Garage Autoleasing,Transportation,-251.62,CHF,5977.33
2025-10-06,Garage Autoleasing,Transportation,-180.74,CHF,5796.59
2025-10-09,Erdgas Versorgung,Utilities,-112.81,CHF,5683.78
2025-10-09,Auto Versicherung,Insurance,-97.72,CHF,5586.06
2025-10-11,Erdgas Versorgung,Utilities,-134.24,CHF,5451.82
2025-10-14,Klavierunterricht,Kids/School,-41.32,CHF,5410.50
2025-10-15,Familienrestaurant,Food,-38.77,CHF,5371.73
2025-10-16,EWZ Strom,Utilities,-61.36,CHF,5310.37
2025-10-16,Familienrestaurant,Food,-42.88,CHF,5267.49
2025-10-17,Kinderturnen Gebühr,Kids/School,-88.23,CHF,5179.26
2025-10-18,Migrol Tankstelle,Transportation,-76.79,CHF,5102.47
2025-10-19,Migros,Groceries,-162.54,CHF,4939.93
2025-10-25,Schulamt Lohnzahlung,Income,7818.86,CHF,12758.79
2025-10-25,Migros,Groceries,-97.07,CHF,12661.72
2025-10-26,Pensionskasse Einkauf,Retirement,-250.00,CHF,12411.72
2025-10-31,Coop,Groceries,-174.98,CHF,12236.74
2025-11-01,Migrol Tankstelle,Transportation,-186.77,CHF,12049.97
2025-11-03,Familienrestaurant,Food,-49.39,CHF,12000.58
2025-11-04,Erdgas Versorgung,Utilities,-104.31,CHF,11896.27
2025-11-07,Pizzeria,Food,-33.07,CHF,11863.20
2025-11-07,Familienrestaurant,Food,-48.91,CHF,11814.29
2025-11-08,EWZ Strom,Utilities,-65.78,CHF,11748.51
2025-11-09,Schulmaterial,Kids/School,-93.44,CHF,11655.07
2025-11-09,Garage Autoleasing,Transportation,-59.57,CHF,11595.50
2025-11-10,EWZ Strom,Utilities,-50.05,CHF,11545.45
2025-11-12,Migros,Groceries,-168.20,CHF,11377.25
2025-11-18,Klavierunterricht,Kids/School,-98.60,CHF,11278.65
2025-11-19,SBB Familienbillett,Travel,-112.09,CHF,11166.56
2025-11-22,Lebensversicherung,Insurance,-106.46,CHF,11060.10
2025-11-24,Migros,Groceries,-155.91,CHF,10904.19
2025-11-24,Garage Autoleasing,Transportation,-175.50,CHF,10728.69
2025-11-25,Schulamt Lohnzahlung,Income,7823.03,CHF,18551.72
2025-11-25,Schulamt 13. Monatslohn,Income,7800.00,CHF,26351.72
2025-11-25,Denner,Groceries,-120.91,CHF,26230.81
