date,description,category,amount,currency,balance
2025-09-22,Coop,Groceries,-65.01,CHF,1834.99
2025-09-22,Coop,Groceries,-73.27,CHF,1761.72
2025-09-22,Migros,Groceries,-94.31,CHF,1667.41
2025-09-22,SWISS Flug Business,Travel,-1033.02,CHF,634.39
2025-09-22,Bistro Abendessen,Food,-54.39,CHF,580.00
2025-09-22,Café,Food,-52.71,CHF,527.29
2025-09-22,Weinbar Zürich,Food,-32.50,CHF,494.79
2025-09-22,Bistro Abendessen,Food,-22.14,CHF,472.65
2025-09-22,Bistro Abendessen,Food,-26.89,CHF,445.76
2025-09-22,Swisscom Internet,Utilities,-79.89,CHF,365.87
2025-09-22,Manor,Shopping,-68.71,CHF,297.16
2025-09-23,Manor,Shopping,-53.18,CHF,243.98
2025-09-25,Treuhand AG Lohnzahlung,Income,8354.09,CHF,8598.07
2025-09-27,Hypothekarzins,Housing,-1550.00,CHF,7048.07
2025-09-27,Krankenkasse Prämie,Healthcare,-206.77,CHF,6841.30
2025-09-28,Swisscom Internet,Utilities,-104.36,CHF,6736.94
2025-09-29,Säule 3a Einzahlung,Retirement,-416.79,CHF,6320.15
2025-09-30,Coop,Groceries,-45.89,CHF,6274.26
2025-10-01,Hypothekarzins,Housing,-1550.00,CHF,4724.26
2025-10-01,Swisscom Internet,Utilities,-91.63,CHF,4632.63
2025-10-01,Globus,Shopping,-92.39,CHF,4540.24
2025-10-03,Pensionskasse Einkauf,Retirement,-329.93,CHF,4210.31
2025-10-04,Globus,Shopping,-93.25,CHF,4117.06
2025-10-07,Migros,Groceries,-117.98,CHF,3999.08
2025-10-10,Coop,Groceries,-53.74,CHF,3945.34
2025-10-11,Coop,Groceries,-107.73,CHF,3837.61
2025-10-11,Weinbar Zürich,Food,-14.62,CHF,3822.99
2025-10-14,Café,Food,-28.12,CHF,3794.87
2025-10-17,Mietwagen Europcar,Travel,-733.66,CHF,3061.21
2025-10-17,Bistro Abendessen,Food,-27.50,CHF,3033.71
2025-10-22,Migros,Groceries,-108.91,CHF,2924.80
2025-10-22,Weinbar Zürich,Food,-13.66,CHF,2911.14
2025-10-23,EWZ Strom,Utilities,-101.30,CHF,2809.84
2025-10-25,Treuhand AG Lohnzahlung,Income,8477.67,CHF,11287.51
2025-10-25,Krankenkasse Prämie,Healthcare,-157.40,CHF,11130.11
2025-10-30,Café,Food,-42.53,CHF,11087.58
2025-11-03,Coop,Groceries,-94.74,CHF,10992.84
2025-11-05,Coop,Groceries,-75.76,CHF,10917.08
2025-11-06,Café,Food,-24.97,CHF,10892.11
2025-11-07,Booking.com Hotel,Travel,-768.52,CHF,10123.59
2025-11-09,Bistro Abendessen,Food,-45.79,CHF,10077.80
2025-11-09,Bistro Abendessen,Food,-31.53,CHF,10046.27
2025-11-10,Migros,Groceries,-98.76,CHF,9947.51
2025-11-10,Bistro Abendessen,Food,-29.33,CHF,9918.18
2025-11-12,Manor,Shopping,-60.56,CHF,9857.62
2025-11-14,Migros,Groceries,-76.35,CHF,9781.27
2025-11-16,EWZ Strom,Utilities,-100.73,CHF,9680.54
2025-11-19,Digitec Galaxus,Shopping,-41.34,CHF,9639.20
2025-11-20,EWZ Strom,Utilities,-48.14,CHF,9591.06
2025-11-21,Apotheke,Healthcare,-161.95,CHF,9429.11
2025-11-24,Café,Food,-24.38,CHF,9404.73
2025-11-25,Treuhand AG Lohnzahlung,Income,8337.22,CHF,17741.95
2025-11-25,Treuhand AG 13. Monatslohn,Income,8400.00,CHF,26141.95
2025-11-30,Hypothekarzins,Housing,-1550.00,CHF,24591.95
