date,description,category,amount,currency,balance
2025-09-22,Liegenschaftsunterhalt,Housing,-334.06,CHF,455.94
2025-09-22,Arzt Selbstbehalt,Healthcare,-59.75,CHF,396.19
2025-09-22,Krankenkasse Zusatzversicherung,Healthcare,-20.12,CHF,376.07
2025-09-22,Volg,Groceries,-52.18,CHF,323.89
2025-09-22,Volg,Groceries,-58.56,CHF,265.33
2025-09-22,Wasserwerk,Utilities,-53.10,CHF,212.23
2025-09-22,Beizli,Food,-19.44,CHF,192.79
2025-09-22,Golfclub Restaurant,Food,-32.99,CHF,159.80
2025-09-22,Spende Rotes Kreuz,Misc,-54.08,CHF,105.72
2025-09-24,Beratungshonorar - Projektreview,Income,1345.17,CHF,1450.89
2025-09-24,Arzt Selbstbehalt,Healthcare,-23.67,CHF,1427.22
2025-09-24,Coop,Groceries,-42.65,CHF,1384.57
2025-09-24,Golfclub Restaurant,Food,-16.07,CHF,1368.50
2025-09-28,Golfclub Restaurant,Food,-12.50,CHF,1356.00
2025-09-29,Coop,Groceries,-52.16,CHF,1303.84
2025-09-30,EWZ Strom,Utilities,-98.58,CHF,1205.26
2025-10-01,Liegenschaftsunterhalt,Housing,-180.31,CHF,1024.95
2025-10-02,Golfclub Restaurant,Food,-18.95,CHF,1006.00
2025-10-03,AHV Rente,Income,2100.00,CHF,3106.00
2025-10-03,Coop,Groceries,-49.45,CHF,3056.55
2025-10-03,Volg,Groceries,-43.24,CHF,3013.31
2025-10-05,Wasserwerk,Utilities,-68.60,CHF,2944.71
2025-10-10,Krankenkasse Zusatzversicherung,Healthcare,-145.90,CHF,2798.81
2025-10-13,Golfreise Andalusien,Travel,-184.09,CHF,2614.72
2025-10-15,Krankenkasse Zusatzversicherung,Healthcare,-73.93,CHF,2540.79
2025-10-15,Enkelkinder Geschenk,Misc,-88.82,CHF,2451.97
2025-10-17,Krankenkasse Zusatzversicherung,Healthcare,-176.82,CHF,2275.15
2025-10-18,Beizli,Food,-34.45,CHF,2240.70
2025-10-20,Volg,Groceries,-63.51,CHF,2177.19
2025-10-21,Beizli,Food,-23.49,CHF,2153.70
2025-10-22,Coop,Groceries,-60.49,CHF,2093.21
2025-10-22,EWZ Strom,Utilities,-99.61,CHF,1993.60
2025-10-24,Beizli,Food,-44.09,CHF,1949.51
2025-11-03,AHV Rente,Income,2100.00,CHF,4049.51
2025-11-04,Golfclub Restaurant,Food,-35.29,CHF,4014.22
2025-11-06,Beizli,Food,-13.95,CHF,4000.27
2025-11-07,Liegenschaftsunterhalt,Housing,-232.55,CHF,3767.72
2025-11-12,Krankenkasse Zusatzversicherung,Healthcare,-161.89,CHF,3605.83
2025-11-15,Volg,Groceries,-69.51,CHF,3536.32
2025-11-16,Coop,Groceries,-81.64,CHF,3454.68
2025-11-18,Apotheke,Healthcare,-181.51,CHF,3273.17
2025-11-18,Wasserwerk,Utilities,-53.11,CHF,3220.06
2025-11-18,Beizli,Food,-37.49,CHF,3182.57
2025-11-19,Apotheke,Healthcare,-167.52,CHF,3015.05
2025-11-22,Enkelkinder Geschenk,Misc,-135.36,CHF,2879.69
2025-11-23,Golfclub Restaurant,Food,-26.48,CHF,2853.21
2025-11-24,EWZ Strom,Utilities,-79.11,CHF,2774.10
2025-11-25,Coop,Groceries,-43.77,CHF,2730.33
2025-11-26,Volg,Groceries,-56.07,CHF,2674.26
2025-12-02,Golfclub Restaurant,Food,-17.32,CHF,2656.94
2025-12-03,AHV Rente,Income,2100.00,CHF,4756.94
2025-12-04,Apotheke,Healthcare,-212.81,CHF,4544.13
2025-12-04,Coop,Groceries,-42.64,CHF,4501.49
2025-12-06,EWZ Strom,Utilities,-69.95,CHF,4431.54
2025-12-07,Coop,Groceries,-88.43,CHF,4343.11
2025-12-09,Golfclub Restaurant,Food,-27.09,CHF,4316.02
2025-12-12,Apotheke,Healthcare,-47.83,CHF,4268.19
2025-12-15,EWZ Strom,Utilities,-43.75,CHF,4224.44
2025-12-17,Arzt Selbstbehalt,Healthcare,-94.59,CHF,4129.85
2025-12-22,Coop,Groceries,-51.57,CHF,4078.28
2025-12-25,Spende Rotes Kreuz,Misc,-107.95,CHF,3970.33
2025-12-28,SBB Bahnticket,Travel,-499.38,CHF,3470.95
2025-12-28,Beizli,Food,-25.92,CHF,3445.03
2025-12-29,Golfclub Restaurant,Food,-33.13,CHF,3411.90
2025-12-30,Liegenschaftsunterhalt,Housing,-154.37,CHF,3257.53
2025-12-31,Coop,Groceries,-72.27,CHF,3185.26
2026-01-01,Coop,Groceries,-61.96,CHF,3123.30
2026-01-02,Krankenkasse Zusatzversicherung,Healthcare,-207.89,CHF,2915.41
2026-01-02,Beizli,Food,-41.05,CHF,2874.36
2026-01-03,AHV Rente,Income,2100.00,CHF,4974.36
2026-01-05,EWZ Strom,Utilities,-93.65,CHF,4880.71
2026-01-08,Coop,Groceries,-40.27,CHF,4840.44
2026-01-09,Krankenkasse Zusatzversicherung,Healthcare,-209.30,CHF,4631.14
2026-01-12,Coop,Groceries,-83.72,CHF,4547.42
2026-01-12,Golfclub Restaurant,Food,-14.15,CHF,4533.27
2026-01-14,Golfclub Restaurant,Food,-20.57,CHF,4512.70
2026-01-17,Wasserwerk,Utilities,-48.18,CHF,4464.52
2026-01-18,Hauswartung,Housing,-380.23,CHF,4084.29
2026-01-18,Beizli,Food,-25.99,CHF,4058.30
2026-01-24,Coop,Groceries,-41.17,CHF,4017.13
2026-01-27,Krankenkasse Zusatzversicherung,Healthcare,-195.10,CHF,3822.03
2026-01-29,Enkelkinder Geschenk,Misc,-61.34,CHF,3760.69
2026-02-01,Apotheke,Healthcare,-29.77,CHF,3730.92
2026-02-03,AHV Rente,Income,2100.00,CHF,5830.92
2026-02-06,Enkelkinder Geschenk,Misc,-44.87,CHF,5786.05
2026-02-07,Liegenschaftsunterhalt,Housing,-309.68,CHF,5476.37
2026-02-07,Apotheke,Healthcare,-177.32,CHF,5299.05
2026-02-09,Volg,Groceries,-63.78,CHF,5235.27
2026-02-14,Golfclub Restaurant,Food,-28.32,CHF,5206.95
2026-02-14,Golfclub Restaurant,Food,-14.60,CHF,5192.35
2026-02-16,Wasserwerk,Utilities,-59.18,CHF,5133.17
2026-02-17,Coop,Groceries,-80.00,CHF,5053.17
2026-02-18,Wasserwerk,Utilities,-99.93,CHF,4953.24
2026-02-20,Apotheke,Healthcare,-22.96,CHF,4930.28
2026-02-20,Coop,Groceries,-83.74,CHF,4846.54
2026-02-22,Volg,Groceries,-53.76,CHF,4792.78
2026-02-24,Beizli,Food,-18.04,CHF,4774.74
2026-02-26,Golfclub Restaurant,Food,-35.65,CHF,4739.09
2026-03-03,AHV Rente,Income,2100.00,CHF,6839.09
2026-03-04,Enkelkinder Geschenk,Misc,-40.08,CHF,6799.01
2026-03-05,Liegenschaftsunterhalt,Housing,-193.14,CHF,6605.87
2026-03-06,Volg,Groceries,-88.78,CHF,6517.09
2026-03-06,Beizli,Food,-32.06,CHF,6485.03
2026-03-10,Krankenkasse Zusatzversicherung,Healthcare,-159.20,CHF,6325.83
2026-03-10,Beizli,Food,-35.44,CHF,6290.39
2026-03-11,Volg,Groceries,-61.97,CHF,6228.42
2026-03-12,Kuoni Pauschalreise,Travel,-467.60,CHF,5760.82
2026-03-13,Wasserwerk,Utilities,-92.63,CHF,5668.19
2026-03-16,Krankenkasse Zusatzversicherung,Healthcare,-132.39,CHF,5535.80
