Fund_ID,Fund_Name,Category,Sub_Type,Currency,Risk_Level_SRRI_1to7,Annualized_Return_YTD_pct,Annualized_Return_3Y_pct,Annualized_Return_5Y_pct,Volatility_3Y_pct,Sharpe_Ratio_3Y,TER_Expense_Ratio_pct,Min_Investment_USD_equiv,AUM_Million_USD,Inception_Year,Distribution_Policy,Management_Style
UBS001,UBS Global Equity Growth Fund,Equity,Active - Growth,USD,6,4.45,9.1,8.36,15.32,0.45,0.62,50000,1998.5,2008,Accumulating,Active
UBS002,UBS US Large Cap Equity Fund,Equity,Active - Large Cap,USD,5,0.71,6.83,7.51,10.97,0.55,0.57,25000,3755.3,2019,Accumulating,Active
UBS003,UBS Emerging Markets Equity Fund,Equity,Active - EM,USD,7,0.97,8.43,9.94,16.41,0.51,0.68,50000,4491.4,2012,Distributing,Active
UBS004,UBS European Equity Opportunity Fund,Equity,Active - Regional,EUR,6,1.47,8.58,7.08,13.91,0.4,0.66,50000,2170.7,2004,Distributing,Active
UBS005,UBS Swiss Equity Fund,Equity,Active - Domestic,CHF,5,2.89,5.78,7.45,10.86,0.55,0.59,25000,1596.2,2005,Accumulating,Active
UBS006,UBS Global Equity Index Fund,Equity,Passive - Index,USD,5,3.58,6.04,5.34,10.8,0.36,0.44,25000,2614.1,2001,Distributing,Passive
UBS007,UBS MSCI World ETF,Equity,Passive - ETF,USD,5,2.6,3.89,5.46,11.82,0.34,0.43,25000,6909.8,2005,Accumulating,Passive
UBS008,UBS Small Cap Growth Fund,Equity,Active - Small Cap,USD,7,2.35,8.73,9.78,17.16,0.48,0.68,50000,6580.9,2006,Accumulating,Active
UBS009,UBS Technology Innovation Fund,Equity,Active - Sector,USD,7,5.74,11.2,11.39,16.85,0.59,0.66,50000,4397.8,2006,Distributing,Active
UBS010,UBS Dividend Income Equity Fund,Equity,Active - Income,USD,4,0.3,4.9,5.48,9.01,0.44,0.53,10000,4003.4,2000,Distributing,Active
UBS011,UBS Global Bond Fund,Fixed Income,Active - Global Agg,USD,3,-1.59,4.0,3.3,6.82,0.26,0.52,10000,9165.3,2020,Accumulating,Active
UBS012,UBS Corporate Bond Fund,Fixed Income,Active - IG Credit,USD,3,-2.45,2.26,3.33,6.62,0.28,0.54,10000,5783.1,2001,Distributing,Active
UBS013,UBS High Yield Bond Fund,Fixed Income,Active - High Yield,USD,5,-1.38,6.86,5.47,11.69,0.34,0.64,25000,7246.6,2016,Distributing,Active
UBS014,UBS Emerging Markets Bond Fund,Fixed Income,Active - EM Debt,USD,5,0.64,6.85,7.4,11.18,0.53,0.6,25000,2738.5,2017,Distributing,Active
UBS015,UBS Swiss Franc Bond Fund,Fixed Income,Active - Domestic,CHF,2,-0.09,1.79,2.95,3.74,0.39,0.49,5000,3374.8,2017,Accumulating,Active
UBS016,UBS Short Duration Bond Fund,Fixed Income,Active - Short Duration,USD,2,-0.26,-0.99,2.55,4.31,0.24,0.43,5000,11323.5,2019,Distributing,Active
UBS017,UBS Government Bond Index Fund,Fixed Income,Passive - Index,EUR,2,1.38,4.46,2.37,4.53,0.19,0.35,5000,3133.6,1999,Accumulating,Passive
UBS018,UBS Green Bond Fund,Fixed Income,Active - ESG,EUR,3,1.26,1.71,2.01,6.47,0.08,0.5,10000,760.0,2002,Distributing,Active
UBS019,UBS Balanced Income Fund,Multi-Asset,Active - Conservative,USD,3,0.91,2.77,3.3,5.73,0.31,0.55,10000,3018.4,2001,Accumulating,Active
UBS020,UBS Balanced Growth Fund,Multi-Asset,Active - Balanced,USD,4,-0.5,3.57,5.27,10.58,0.36,0.56,10000,7657.3,2008,Accumulating,Active
UBS021,UBS Dynamic Allocation Fund,Multi-Asset,Active - Flexible,USD,5,2.42,5.31,5.93,11.0,0.4,0.62,25000,346.6,2000,Accumulating,Active
UBS022,UBS Vitainvest Sustainable 40,Multi-Asset,Active - ESG Balanced,CHF,4,2.84,5.28,3.28,8.29,0.21,0.54,10000,11250.3,1998,Accumulating,Active
UBS023,UBS Money Market Fund USD,Money Market,Active - MMF,USD,1,2.53,0.56,1.18,1.07,-0.3,0.43,5000,6729.1,2014,Distributing,Active
UBS024,UBS Money Market Fund CHF,Money Market,Active - MMF,CHF,1,-1.0,2.7,1.65,1.45,0.1,0.42,5000,10182.9,2017,Distributing,Active
UBS025,UBS Money Market Fund EUR,Money Market,Active - MMF,EUR,1,2.13,2.6,1.27,3.4,-0.07,0.41,5000,4561.6,2000,Accumulating,Active
UBS026,UBS Direct Real Estate Fund Switzerland,Real Estate,Active - Direct RE,CHF,4,-1.48,6.74,4.97,9.86,0.35,0.57,10000,2961.4,2018,Distributing,Active
UBS027,UBS Global Real Estate Securities Fund,Real Estate,Active - Listed RE,USD,5,3.23,7.42,7.77,12.44,0.5,0.61,25000,1260.0,2016,Distributing,Active
UBS028,UBS Gold Fund,Commodity,Passive - Physical,USD,5,1.97,5.43,5.68,11.84,0.35,0.49,25000,7629.0,1999,Accumulating,Passive
UBS029,UBS Broad Commodity Fund,Commodity,Active - Diversified,USD,6,-0.68,11.78,8.59,13.77,0.51,0.67,50000,3477.2,2000,Distributing,Active
UBS030,UBS Sustainable Global Equity Fund,Equity,Active - ESG,USD,6,2.27,7.21,8.98,14.51,0.52,0.6,50000,11150.6,2014,Distributing,Active
UBS031,UBS Climate Transition Equity Fund,Equity,Active - Thematic ESG,EUR,6,5.45,7.96,9.28,13.46,0.58,0.63,50000,2158.5,2007,Accumulating,Active
